OGF_ID,Owl_Type,Locaction_Accuracy,Sensitivity_Class,Nesting_Activity_Status,Nest_Support_Type,Nest_Tree_Condition,Tree_Species_Common_Name,Nest_Width,Nest_Depth,Nest_Stick_Diameter,Nest_Construction_Category,Effective_Date_Time,Survey_Notes,Long,Lat
125533292,Great Horned Owl ,Within 10 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Trembling Aspen,75 to 150 cm,Shallow,Mostly pencil-sized and larger,Solid and shaggy,2019/05/01 15:54:02+00,Truax Twp. Located Within Harvest Block Id Truax140 New Nest Identified 2019-Apr-29. Sfl Reported Nest With Pictures In Spring 2019 Thru Cto # 98. Located Within Harvest Block Truax140. Nest Identified As Occupied. Sfl Reported Nest Occupied In Spring 2019. Verified By Mnrf Biologist. New Nest Identified By Sfl And Verified By Mnrf Biologist 2019-Apr-30.,-80.22244588,47.80090773
125583047,Great Horned Owl ,Within 5 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Not Specified,Less than 75 cm,Deep,Mostly pencil-sized and larger,Solid and shaggy,2019/05/15 10:09:52+00,"Approximately 21 Km'S Up Nungessor Road, 150 M Into The Bush On Weest Side Of Road. Great Horned Owl Flying Around Nest, Feathers Seen In Nest.  ",-93.62066162,51.19284128
119959384,Barred Owl ,Within 5 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Trembling Aspen,75 to 150 cm,Shallow,Mostly pencil-sized and larger,Solid but not shaggy,2019/07/02 14:45:28+00,Nest Revisted By Mnrf Bio And Reclassified From Gosshawk To Barred Owl  ,-88.14249344,49.18001714
68409281,Great Horned Owl ,Within 50 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Dead,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2009/01/23 09:00:21+00, Gps Location Taken From Helicopter.  Approximately 5-6 Nests In The Wetland.,-77.47044465,45.71307283
350297012,Great Gray Owl ,Within 100 metres,Non-Sensitive,Not Applicable,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2011/12/06 11:01:20+00,Not Specified,-91.62536749,48.98451826
350296999,Great Gray Owl ,Within 100 metres,Non-Sensitive,Not Applicable,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2011/12/06 11:01:15+00,Not Specified,-91.63573339,48.99256037
1150328747,Great Gray Owl ,Very Accurate (to 2m),Non-Sensitive,Active - Primary Nest or Colony,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1998/07/20 16:42:14+00,Not Specified,-94.21414497,50.55485446
1150328810,Great Gray Owl ,Very Accurate (to 2m),Non-Sensitive,Active - Primary Nest or Colony,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1998/07/20 16:42:32+00,Not Specified,-94.35353867,50.33974782
67567001,Great Horned Owl ,Within 20 metres,Non-Sensitive,Active - Primary Nest or Colony,Tree,Alive,Trembling Aspen,Not Specified,Not Specified,Not Specified,Not Specified,2007/06/21 13:39:31+00,In A Large Poplar Tree Next To Block 110 On The Pineland Forest. Great Horned Owl Was Spotted In Close Proximity To The Nesting Site.  ,-82.82593908,48.14457883
1100811496,Great Gray Owl ,Within 2 metres,Non-Sensitive,Active - Primary Nest or Colony,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2003/04/14 09:59:34+00,Km 35 South Bay Rd. Juveniles=3,-93.0663693,50.93501079
1100811492,Great Gray Owl ,Within 2 metres,Non-Sensitive,Active - Primary Nest or Colony,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2003/04/14 09:43:31+00, Juveniles=2,-93.07187418,50.82242798
